country,location_name,latitude,longitude,timezone,last_updated_epoch,last_updated,temperature_celsius,temperature_fahrenheit,condition_text,humidity,cloud,sunrise,sunset,moonrise,moonset
Afghanistan,Kabul,34.52,69.18,Asia/Kabul,1693301400,29/08/2023 14:00,28.8,83.8,Sunny,19,0,5:24 am,6:24 pm,5:39 pm,2:48 am
Albania,Tirana,41.33,19.82,Europe/Tirane,1693301400,29/08/2023 11:30,27,80.6,Partly cloudy,54,75,6:04 am,7:19 pm,6:50 pm,3:25 am
Algeria,Algiers,36.76,3.05,Africa/Algiers,1693301400,29/08/2023 10:30,28,82.4,Partly cloudy,30,25,6:16 am,7:21 pm,6:46 pm,3:50 am
Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra,1693301400,29/08/2023 11:30,10.2,50.4,Sunny,51,6,7:16 am,8:34 pm,8:08 pm,4:38 am
Angola,Luanda,-8.84,13.23,Africa/Luanda,1693301400,29/08/2023 10:30,25,77,Partly cloudy,69,75,6:11 am,6:06 pm,4:43 pm,4:41 am
Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua,1693301400,29/08/2023 05:30,29,84.2,Light rain,79,75,5:53 am,6:23 pm,5:36 pm,4:09 am
Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires,1693301400,29/08/2023 06:30,9,48.2,Clear,71,0,7:18 am,6:34 pm,4:57 pm,6:32 am
Armenia,Yerevan,40.18,44.51,Asia/Yerevan,1693301400,29/08/2023 13:30,31,87.8,Partly cloudy,26,25,6:26 am,7:39 pm,7:05 pm,3:45 am
Australia,Canberra,-35.28,149.22,Australia/Sydney,1693301400,29/08/2023 19:30,13,55.4,Clear,62,0,6:27 am,5:42 pm,3:19 pm,5:17 am
Austria,Vienna,48.2,16.37,Europe/Vienna,1693301400,29/08/2023 11:30,16,60.8,Light rain,82,75,6:07 am,7:43 pm,7:27 pm,3:11 am
Azerbaijan,Baku,40.4,49.88,Asia/Baku,1693301400,29/08/2023 13:30,31,87.8,Sunny,36,0,6:04 am,7:18 pm,6:44 pm,3:21 am
Bahamas,Nassau,25.08,-77.35,America/Nassau,1693301400,29/08/2023 05:30,29.8,85.6,Clear,80,8,6:49 am,7:32 pm,6:53 pm,4:58 am
Bahrain,Manama,26.24,50.58,Asia/Bahrain,1693301400,29/08/2023 12:30,38,100.4,Sunny,54,0,5:16 am,6:01 pm,5:07 pm,2:58 am
Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka,1693301400,29/08/2023 15:30,34,93.2,Cloudy,52,70,5:39 am,6:19 pm,5:18 pm,3:17 am
Barbados,Bridgetown,13.1,-59.62,America/Barbados,1693301400,29/08/2023 05:30,27,80.6,Partly cloudy,89,25,5:47 am,6:11 pm,5:20 pm,4:07 am
Belarus,Minsk,53.9,27.57,Europe/Minsk,1693301400,29/08/2023 12:30,22,71.6,Sunny,61,0,6:12 am,8:08 pm,8:06 pm,2:51 am
Belgium,Brussels,50.83,4.33,Europe/Brussels,1693301400,29/08/2023 11:30,16,60.8,Partly cloudy,82,25,6:51 am,8:35 pm,8:26 pm,3:49 am
Belize,Belmopan,17.25,-88.77,America/Belize,1693301400,29/08/2023 03:30,23.6,74.5,Patchy rain possible,95,70,5:41 am,6:11 pm,5:28 pm,4:01 am
Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo,1693301400,29/08/2023 10:30,28,82.4,Partly cloudy,84,50,6:43 am,6:58 pm,5:52 pm,4:59 am
Bhutan,Thimphu,27.48,89.6,Asia/Thimphu,1693301400,29/08/2023 15:30,17.1,62.8,Patchy rain possible,75,83,5:39 am,6:26 pm,5:29 pm,3:11 am
Bolivia,Sucre,-19.04,-65.26,America/La_Paz,1693301400,29/08/2023 05:30,10.8,51.4,Clear,38,0,6:31 am,6:13 pm,4:55 pm,5:27 am
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo,1693301400,29/08/2023 11:30,23,73.4,Partly cloudy,47,50,6:06 am,7:28 pm,7:03 pm,3:22 am
Botswana,Gaborone,-24.65,25.91,Africa/Gaborone,1693301400,29/08/2023 11:30,18.4,65.1,Sunny,35,6,6:31 am,6:04 pm,4:22 pm,5:20 am
Brazil,Bras,-2.08,-58.17,America/Manaus,1693301400,29/08/2023 05:30,23.8,74.8,Clear,54,8,5:52 am,5:56 pm,4:51 pm,4:27 am
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei,1693301400,29/08/2023 17:30,31,87.8,Partly cloudy,79,75,6:15 am,6:28 pm,5:02 pm,4:12 am
Bulgaria,Sofia,42.68,23.32,Europe/Sofia,1693301400,29/08/2023 12:30,28,82.4,Partly cloudy,40,25,6:48 am,8:07 pm,7:40 pm,4:05 am
Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou,1693301400,29/08/2023 09:30,28,82.4,Partly cloudy,79,25,5:55 am,6:18 pm,5:18 pm,4:05 am
Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura,1693301400,29/08/2023 11:30,28.9,84,Partly cloudy,34,25,6:03 am,6:05 pm,4:44 pm,4:24 am
Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo,1693301400,29/08/2023 12:30,22.9,73.2,Sunny,35,0,6:09 am,5:42 pm,3:57 pm,4:54 am
